"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SIENKIEWICZ Bartłomiej Henryk - KKW KOALICJA OBYWATELSKA";"WILK-GRZYWNA Małgorzata Beata - KKW KOALICJA OBYWATELSKA";"MARCZUŁAJTIS-WALCZAK Jagna Kinga - KKW KOALICJA OBYWATELSKA";"SALWIŃSKA Sylwia Kinga - KKW KOALICJA OBYWATELSKA";"MĘKAL Małgorzata Katarzyna - KKW KOALICJA OBYWATELSKA";"MAJKA Magdalena - KKW KOALICJA OBYWATELSKA";"ZWIERZCHOWSKI Wojciech Mieczysław - KKW KOALICJA OBYWATELSKA";"KOZIOŁ Artur Stanisław - KKW KOALICJA OBYWATELSKA";"WITKA Jacek Paweł - KKW KOALICJA OBYWATELSKA";"SOWA Marek Jan - KKW KOALICJA OBYWATELSKA";"SZEJNA Andrzej Jan - KKW LEWICA";"KOLARSKA Dorota Anna - KKW LEWICA";"LIPIŃSKA-PIEKARSKA Joanna Olszyna - KKW LEWICA";"ŻAK Dominik Piotr - KKW LEWICA";"ANIOŁ Alina Maria - KKW LEWICA";"KOBIELUSZ Paweł Bernard - KKW LEWICA";"HAŃDEREK Joanna Ewa - KKW LEWICA";"KUKLA Robert Łukasz - KKW LEWICA";"TUCHOWSKI Daniel - KKW LEWICA";"DROPEK Magdalena - KKW LEWICA";"JARUBAS Adam Sebastian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GÓRNIKIEWICZ Piotr Tadeusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NOWOGÓRSKA Urszula Teresa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MOTYCZYŃSKA Monika Elżbieta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RAŚ Ireneusz Jacek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KASPRZYK Rafał Marcin - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TYJAS Jolanta Dorota - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STOLECKI Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DĄBROŚ Stella Józefa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BERKOWICZ Konrad Szczepan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BRAUN Grzegorz Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JASKÓŁKA Nadzieja - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KONARSKI Artur Marian - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"IWAN Jasna Gabriela - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DRWAL Aleksandra Urszula - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"NOWOWIEJSKA Ewa Krystyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KRAJEWSKI Konrad Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"STRZELEC Marcin Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DZIADOSZ Jagoda - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KASELA Andrzej Jan - KW NORMALNY KRAJ";"KLICH Dariusz Zbigniew - KW NORMALNY KRAJ";"BILECKA Fabiola Katarzyna - KW NORMALNY KRAJ";"KURLETO Renata Janina - KW NORMALNY KRAJ";"STANKIEWICZ Aneta - KW NORMALNY KRAJ";"JANAS Mieszko Maria - KW NORMALNY KRAJ";"MIKOŁAJEK Maria Dorota - KW NORMALNY KRAJ";"BURZYŃSKI Zbigniew Józef - KW NORMALNY KRAJ";"ŻÓŁTEK Stanisław Józef - KW POLEXIT";"HAREŃCZYK Adam Wiesław - KW POLEXIT";"SAJDAK Anna Małgorzata - KW POLEXIT";"ŚLUSARCZYK Klaudia Dorota - KW POLEXIT";"BIGAJ Czesław - KW POLEXIT";"ZIĘBA Angelika Natalia - KW POLEXIT";"ŚMIŁEK Oskar Wojciech - KW POLEXIT";"MĘDREK Iwona Marzena - KW POLEXIT";"SZATAN Jarosław Kazimierz - KW POLEXIT";"JAGODZIŃSKI Marcin - KW PL!SP";"JAGODZIŃSKA Monika Ewa - KW PL!SP";"BŁACHUCKA Roksana Magdalena - KW PL!SP";"SZYDŁO Beata Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"MULARCZYK Arkadiusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"TARCZYŃSKI Dominik - KW PRAWO I SPRAWIEDLIWOŚĆ";"KRUPKA Anna Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"WÓJCIK Michał Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SKRUCH Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"RUSECKA Urszula Beata - KW PRAWO I SPRAWIEDLIWOŚĆ";"WŁOSOWICZ Jacek Władysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"TLAŁKA-DŁUGOSZ Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SKUZA Stanisław - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"NOWAKOWSKA Elżbieta Paula - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"WICHE Mateusz Andrzej - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"KALISZ Beata - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"TORKOWSKA Samuela - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"GOCAŁ Dariusz Krzysztof - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"SIEŃKO Natalia Izabela - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"WOCH Marcin Grzegorz - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"BUGAJSKI Marcin Rafał - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"PETERSON Magdalena - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA"
18;"Wiejskie Centrum Kultury, Sportu i Rekreacji w Falniowie, Falniów 55, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;10;0;4;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;8;0;0;2;1;0;0;0;0;0;16;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;11;39;1;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;1
19;"Szkoła Podstawowa w Pstroszycach Pierwszych, Pstroszyce Pierwsze 66, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;10;2;1;0;0;0;0;0;0;3;20;39;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;6;30;0;2;0;0;0;1;8;1;0;0;0;0;0;0;0;0;0
20;"Specjalny Ośrodek Szkolno-Wychowawczy w Zagorzycach, Zagorzyce 9, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;1;0;0;0;0;0;0;5;39;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;7;16;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
21;"Remiza Ochotniczej Straży Pożarnej w Zarogowie, Zarogów 25A, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;4;1;1;0;0;0;0;0;0;2;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;9;13;0;0;0;1;0;0;4;0;0;0;0;0;0;0;1;0;0
22;"Remiza Ochotniczej Straży Pożarnej w Dziewięciołach, Dziewięcioły 39A, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;8;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
23;"Remiza Ochotniczej Straży Pożarnej w Szczepanowicach, Szczepanowice 24, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;6;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0;0;0;0;0;0;5;26;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;41;4;13;0;0;0;0;1;0;8;0;0;0;0;0;0;0;1;0;0
24;"Remiza Ochotniczej Straży Pożarnej w Podleśnej Woli, Podleśna Wola 42, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;9;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9;1;0;0;0;1;0;0;0;0;5;25;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;33;3;30;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
25;"Remiza Ochotniczej Straży Pożarnej w Kalinie Małej, Kalina Mała 72, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;14;0;3;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;13;0;0;0;3;0;0;0;0;1;3;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13;3;22;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
26;"Remiza Ochotniczej Straży Pożarnej w Przesławicach, Przesławice 56, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;5;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;2;2;0;0;0;0;0;0;2;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;28;5;11;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
27;"Centrum Wsparcia Osób z Niepełnosprawnością Intelektualną i Ich Rodzin w Strzeżowie Drugim, Strzeżów Drugi 45, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;13;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;5;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
28;"Szpital św. Anny w Miechowie, ul. Szpitalna 3, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;"Dom Pomocy Społecznej w Miechowie, ul. Warszawska 49A, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
30;"Dom Pomocy Społecznej ""BETANIA"" w Miechowie, ul. ks. Skorupki 19, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
31;"Dom Pomocy Społecznej ""Dom Kombatanta"" w Miechowie, ul. Szpitalna 1, 32-200 Miechów";120805;"gm. Miechów";"miechowski";"małopolskie";1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;"Szkoła Podstawowa w Racławicach, Racławice 147, 32-222 Racławice";120806;"gm. Racławice";"miechowski";"małopolskie";1;1;22;0;6;0;0;0;0;1;0;2;2;1;0;0;0;0;0;0;1;0;10;0;0;0;19;0;0;0;0;0;12;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;56;19;35;1;1;1;0;2;0;4;0;1;0;0;0;0;1;0;0;0
2;"Placówka Wsparcia Dziennego w Klonowie, Klonów 50, 32-222 Racławice";120806;"gm. Racławice";"miechowski";"małopolskie";1;1;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;1;0;0;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;1;7;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
3;"Środowiskowy Dom Samopomocy w Kościejowie, Kościejów 52, 32-222 Racławice";120806;"gm. Racławice";"miechowski";"małopolskie";1;1;7;0;3;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;20;0;0;0;7;0;0;0;0;2;7;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;21;20;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
4;"Willa Walerego Sławka w Janowiczkach, Janowiczki 27, 32-222 Racławice";120806;"gm. Racławice";"miechowski";"małopolskie";1;1;9;1;4;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;5;0;0;0;10;0;0;0;0;7;2;19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;5;16;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
5;"Ośrodek ""Aktywny Senior"" w Marchocicach, Marchocice 13, 32-222 Racławice";120806;"gm. Racławice";"miechowski";"małopolskie";1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;7;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
1;"Urząd Gminy w Słaboszowie, Słaboszów 57, 32-218 Słaboszów";120807;"gm. Słaboszów";"miechowski";"małopolskie";1;1;8;0;1;0;0;1;1;0;0;0;3;0;0;0;1;0;1;0;0;0;25;0;0;0;1;2;1;0;0;0;3;28;1;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;50;21;18;1;1;0;0;1;0;8;0;0;0;0;0;0;1;0;0;0
2;"Szkoła Podstawowa w Dziaduszycach, Dziaduszyce 23, 32-218 Słaboszów";120807;"gm. Słaboszów";"miechowski";"małopolskie";1;1;6;2;2;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;1;14;0;0;0;2;0;0;0;0;0;11;25;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;40;36;4;1;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
3;"Budynek Komunalny Gminy w Kalinie Wielkiej, Kalina Wielka 62, 32-218 Słaboszów";120807;"gm. Słaboszów";"miechowski";"małopolskie";1;1;33;2;5;0;0;0;0;1;0;1;4;2;0;0;0;0;0;0;1;0;23;1;0;1;1;0;0;0;0;3;6;22;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;32;36;33;2;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
4;"Szkoła Podstawowa w Janowicach, Janowice 50, 32-218 Słaboszów";120807;"gm. Słaboszów";"miechowski";"małopolskie";1;1;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;8;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;19;4;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
5;"Remiza Ochotniczej Straży Pożarnej w Słupowie, Słupów 45A, 32-218 Słaboszów";120807;"gm. Słaboszów";"miechowski";"małopolskie";1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;9;0;1;0;1;0;0;0;0;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;5;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
6;"Remiza Ochotniczej Straży Pożarnej w Święcicach, Święcice 15 A, 32-218 Słaboszów";120807;"gm. Słaboszów";"miechowski";"małopolskie";1;1;9;1;0;0;1;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;1;0;2;10;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
7;"Remiza Ochotniczej Straży Pożarnej w Kropidle, Kropidło 48 A, 32-218 Słaboszów";120807;"gm. Słaboszów";"miechowski";"małopolskie";1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;"Remiza Ochotniczej Straży Pożarnej w Nieszkowie, Nieszków 36, 32-218 Słaboszów";120807;"gm. Słaboszów";"miechowski";"małopolskie";1;1;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;20;0;0;1;0;2;0;0;0;1;1;4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1;"Środowiskowy Dom Samopomocy w Dobczycach, ul. Jagiellońska 2, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;87;2;25;1;0;1;0;1;3;39;3;4;1;1;0;0;0;0;0;0;27;3;4;2;4;1;4;0;0;9;30;44;4;3;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;186;30;71;1;6;0;1;0;0;6;1;3;0;1;0;0;0;1;2;0
2;"Przedszkole Samorządowe Nr 1 w Dobczycach, pl. Plac Zgody 9, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;85;7;26;2;2;4;0;3;0;77;6;10;2;1;0;0;0;0;0;1;18;2;4;2;1;1;1;0;0;5;44;58;4;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;170;24;109;2;3;0;4;0;0;5;3;0;0;0;0;0;0;0;0;0
3;"Regionalne Centrum Oświatowo-Sportowe w Dobczycach, ul. Szkolna 43, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;99;6;24;1;1;5;1;1;0;53;9;15;2;0;0;0;2;0;0;2;15;0;5;2;3;3;0;2;1;5;36;35;3;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;81;19;65;1;6;0;6;0;3;5;4;1;0;0;0;0;1;0;1;0
4;"Szkoła Podstawowa w Brzączowicach, Brzączowice 186, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;53;3;18;0;0;2;1;1;0;18;4;6;1;1;0;1;1;0;0;2;14;0;2;1;1;1;0;1;0;12;39;56;7;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;111;25;53;1;4;0;1;0;1;1;5;0;1;1;2;1;0;0;1;0
5;"Strażnica Ochotniczej Straży Pożarnej w Kornatce, Kornatka 312, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;29;0;9;2;1;0;0;0;0;8;2;4;0;0;0;0;0;0;0;0;14;0;1;0;1;1;0;0;0;5;29;39;8;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;31;53;1;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
6;"Szkoła Podstawowa w Stadnikach, Stadniki 148, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;12;0;8;0;0;2;0;0;0;2;1;4;0;0;0;0;0;0;0;0;5;0;2;1;2;3;1;1;0;5;17;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;97;18;36;1;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0
7;"Szkoła Podstawowa w Dziekanowicach, Dziekanowice 48a, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;23;0;2;0;0;0;0;6;0;5;0;0;0;0;0;0;2;0;0;0;6;2;1;3;1;3;0;0;0;2;13;16;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;11;38;0;3;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0
8;"Szkoła Podstawowa w Nowej Wsi, Nowa Wieś 16, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;11;1;8;0;0;1;1;0;0;3;1;1;0;0;0;0;0;0;2;1;2;1;1;2;1;2;0;0;0;0;7;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;46;13;26;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
9;"Strażnica OSP w Stojowicach, Stojowice 130, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;28;2;5;0;0;0;0;2;0;6;3;6;0;0;0;0;2;0;0;1;8;2;3;0;1;2;0;0;1;3;27;22;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;92;14;28;1;2;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
10;"Ochotnicza Straż Pożarna w Bieńkowicach, Bieńkowice 122, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;9;0;4;1;0;0;0;8;0;3;2;3;0;0;0;0;0;0;0;0;4;0;1;3;0;1;0;0;0;1;13;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;46;4;25;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
11;"Ochotnicza Straż Pożarna w Brzezowej, Brzezowa 1, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;25;2;5;0;0;1;0;0;1;9;3;0;0;0;0;0;0;0;0;1;0;0;1;0;2;2;0;0;0;0;12;20;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;16;42;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12;"Ochotnicza Straż Pożarna w Kędzierzynce, Kędzierzynka 96, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;20;0;8;0;0;0;0;2;0;11;0;3;1;0;0;0;2;0;0;0;2;2;0;0;0;0;1;0;0;1;11;15;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;54;8;18;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
13;"Ochotnicza Straż Pożarna w Rudniku, Rudnik 75, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;16;1;2;0;0;0;0;1;0;5;2;0;0;0;0;0;0;0;0;0;7;2;1;1;1;0;0;0;0;0;14;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25;18;19;0;1;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0
14;"Ochotnicza Straż Pożarna w Sierakowie, Sieraków 170, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;33;3;10;1;2;1;1;4;0;5;0;3;0;1;0;0;0;0;0;0;15;0;0;1;1;1;0;0;1;0;22;32;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;30;44;0;1;0;7;0;0;0;0;0;0;1;0;0;0;0;1;0
15;"Ochotnicza Straż Pożarna w Skrzynce, Skrzynka 133, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;11;1;10;0;0;1;0;0;0;6;2;5;0;0;0;0;0;0;0;0;6;1;1;0;1;0;0;0;0;2;21;25;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;70;12;35;1;4;0;1;0;1;2;1;2;0;0;0;0;0;0;0;0
16;"Przedszkole Samorządowe nr 3 w Dobczycach, ul. Szkolna 27, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;43;1;13;3;5;1;1;2;0;29;2;2;0;0;0;0;0;0;1;0;9;2;4;2;2;0;0;0;1;4;28;27;2;1;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;99;18;64;1;1;0;1;0;0;3;3;0;0;0;0;0;0;0;0;0
1;"Szkoła Podstawowa w Lubniu, Lubień 513, 32-433 Lubień";120902;"gm. Lubień";"myślenicki";"małopolskie";1;1;40;1;22;0;1;0;0;0;0;10;2;4;2;0;0;0;0;0;0;0;23;0;1;1;0;1;1;0;1;5;43;46;8;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;180;41;141;5;6;1;1;2;0;6;0;1;0;0;0;0;1;0;0;2
